Date,Open,High,Low,Close,Volume,Stock
2020-01-01,12202.150390625,12222.2001953125,12165.2998046875,12182.5,304100,^NSEI
2020-01-02,12198.5498046875,12289.900390625,12195.25,12282.2001953125,407700,^NSEI
2020-01-03,12261.099609375,12265.599609375,12191.349609375,12226.650390625,428800,^NSEI
2020-01-06,12170.599609375,12179.099609375,11974.2001953125,11993.0498046875,396500,^NSEI
2020-01-07,12079.099609375,12152.150390625,12005.349609375,12052.9501953125,447800,^NSEI
2020-01-08,11939.099609375,12044.9501953125,11929.599609375,12025.349609375,446000,^NSEI
2020-01-09,12153.150390625,12224.0498046875,12132.5498046875,12215.900390625,477500,^NSEI
2020-01-10,12271.0,12311.2001953125,12213.2001953125,12256.7998046875,660600,^NSEI
2020-01-13,12296.7001953125,12337.75,12285.7998046875,12329.5498046875,501000,^NSEI
2020-01-14,12333.099609375,12374.25,12308.7001953125,12362.2998046875,616300,^NSEI
2020-01-15,12349.400390625,12355.150390625,12278.75,12343.2998046875,684400,^NSEI
2020-01-16,12347.099609375,12389.0498046875,12315.7998046875,12355.5,395700,^NSEI
2020-01-17,12328.400390625,12385.4501953125,12321.400390625,12352.349609375,502100,^NSEI
2020-01-20,12430.5,12430.5,12216.900390625,12224.5498046875,491600,^NSEI
2020-01-21,12195.2998046875,12230.0498046875,12162.2998046875,12169.849609375,400,^NSEI
2020-01-22,12218.349609375,12225.0498046875,12087.900390625,12106.900390625,500,^NSEI
2020-01-23,12123.75,12189.0,12094.099609375,12180.349609375,867700,^NSEI
2020-01-24,12174.5498046875,12272.150390625,12149.650390625,12248.25,593200,^NSEI
2020-01-27,12197.099609375,12216.599609375,12107.0,12119.0,441200,^NSEI
2020-01-28,12148.099609375,12163.5498046875,12024.5,12055.7998046875,478500,^NSEI
2020-01-29,12114.900390625,12169.599609375,12103.7998046875,12129.5,514400,^NSEI
2020-01-30,12147.75,12150.2998046875,12010.599609375,12035.7998046875,538100,^NSEI
2020-01-31,12100.400390625,12103.5498046875,11945.849609375,11962.099609375,771300,^NSEI
2020-02-03,11627.4501953125,11749.849609375,11614.5,11707.900390625,669800,^NSEI
